Mês;Ano;Valor
1;2017;64.670,78
2;2017;66.662,10
3;2017;64.984,06
4;2017;65.403,24
5;2017;62.711,47
6;2017;62.899,97
7;2017;65.920,36
8;2017;70.835,05
9;2017;74.293,50
10;2017;74.308,49
11;2017;71.970,99
12;2017;76.402,08
1;2018;84.912,70
2;2018;85.353,60
3;2018;85.365,56
4;2018;86.115,50
5;2018;76.753,61
6;2018;72.762,52
7;2018;79.220,44
8;2018;76.677,53
9;2018;79.342,43
10;2018;87.423,55
11;2018;89.504,03
12;2018;87.887,27
1;2019;97.393,75
2;2019;95.584,35
3;2019;95.414,56
4;2019;96.353,33
5;2019;97.030,32
6;2019;100.967,20
7;2019;101.812,13
8;2019;101.134,61
9;2019;104.745,32
10;2019;107.219,83
11;2019;108.233,28
12;2019;115.645,34
1;2020;113.760,57
2;2020;104.171,57
3;2020;73.019,76
4;2020;80.505,89
5;2020;87.402,59
6;2020;95.055,82
7;2020;102.912,24
8;2020;99.369,15
9;2020;94.603,38
10;2020;93.952,40
11;2020;108.893,32
12;2020;119.017,24
1;2021;115.067,55
2;2021;110.035,17
3;2021;116.633,72
4;2021;118.893,84
5;2021;126.215,73
6;2021;126.801,66
7;2021;121.800,79
8;2021;118.781,03
9;2021;110.979,10
10;2021;103.500,71
11;2021;101.915,45
12;2021;104.822,44
1;2022;112.143,51
2;2022;113.141,94
3;2022;119.999,23
4;2022;107.876,16
5;2022;111.350,51
6;2022;98.541,95
7;2022;103.164,69
8;2022;109.522,88
9;2022;110.036,79
10;2022;116.037,08
11;2022;112.486,01
12;2022;109.734,60
1;2023;113.430,54
2;2023;104.931,93
3;2023;101.882,20
4;2023;104.431,63
5;2023;108.335,07
6;2023;118.087,00
7;2023;121.942,98
8;2023;115.741,81
9;2023;116.565,17
10;2023;113.143,67
11;2023;127.331,12
12;2023;134.185,24
